Candidato,Distrito,Lista,Pacto,Partido,votacion
CATALINA ANDREA YOVANE GARCIA,25,G,FRENTE AMPLIO,INDEPENDIENTE PODER,1073
CATALINA DEL REAL MIHOVILOVIC,11,P,CHILE VAMOS,RENOVACION NACIONAL,43499
CATALINA VALESKA VALENZUELA MAUREIRA,23,G,FRENTE AMPLIO,HUMANISTA,1560
CATALINA VELASQUEZ FLORES,25,N,LA FUERZA DE LA MAYORIA,COMUNISTA DE CHILE,926
CATALINA VIDAL MENDEZ,9,G,FRENTE AMPLIO,HUMANISTA,5657
CATHERINE FIELDHOUSE ALARCON,15,K,COALICION REGIONALISTA VERDE,INDEPENDIENTE FEDERACION REGIONALISTA VERDE SOCIAL,2437
CECILIA TIRADO SOTO,5,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,1352
CECILIA AGUAYO IPINZA,10,P,CHILE VAMOS,INDEPENDIENTE EVOLUCION POLITICA,1257
CECILIA GONZALEZ HANSEN,11,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,2751
CECILIA VALDES LEON,8,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,5586
CECILIO AGUILAR GALINDO,27,R,CANDIDATURA INDEPENDIENTE,CANDIDATURA INDEPENDIENTE,1867
CELSO MORALES MUÃ‘OZ,17,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,22089
CESAR ALEJANDRO SOLIS SANCHEZ,13,G,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,7436
CESAR ANTONIO VALENCIA CORTES,5,N,LA FUERZA DE LA MAYORIA,INDEPENDIENTE RADICAL SOCIALDEMOCRATA,3444
CHRISTIAN PULGAR TOLEDO,10,G,FRENTE AMPLIO,HUMANISTA,1108
CHRISTIAN ANDRES GONZALEZ GONZALEZ,16,O,CONVERGENCIA DEMOCRATICA,INDEPENDIENTE IZQUIERDA CIUDADANA DE CHILE,1133
CHRISTIAN JORQUERA TAPIA,10,M,UNION PATRIOTICA,UNION PATRIOTICA,456
CHRISTIAN URIZAR MUÃ‘OZ,6,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,11232
CLARA MENESES COLOMA,4,K,COALICION REGIONALISTA VERDE,FEDERACION REGIONALISTA VERDE SOCIAL,313
CLARA RIOS LUEIZA,14,M,UNION PATRIOTICA,UNION PATRIOTICA,958
CLARISA RIOS INOSTROZA,7,M,UNION PATRIOTICA,UNION PATRIOTICA,770
CLAUDE ROUTHIER CARTES,25,H,SUMEMOS,INDEPENDIENTE TODOS,424
CLAUDIA LANGE FARIAS,12,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,2868
CLAUDIA MONJE VIDAL,20,G,FRENTE AMPLIO,INDEPENDIENTE HUMANISTA,3411
CLAUDIA NOGUEIRA FERNANDEZ,9,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,19493
CLAUDIA ANDREA SANCHEZ SOTO,17,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,2237
CLAUDIA ARAVENA LAGOS,18,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,6479
CLAUDIA ARCOS DUARTE,6,G,FRENTE AMPLIO,IGUALDAD,5501
CLAUDIA BERNARDITA CHAVEZ GONZALEZ,24,H,SUMEMOS,CIUDADANOS,933
CLAUDIA HURTADO ESPINOZA,20,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,2958
CLAUDIA LORENA SUBIABRE MAYORGA,23,H,SUMEMOS,AMPLITUD,549
CLAUDIA MENESES OLIVA,3,P,CHILE VAMOS,INDEPENDIENTE UNION DEMOCRATA INDEPENDIENTE,3304
CLAUDIA NATHALIE MIX JIMENEZ,8,G,FRENTE AMPLIO,PODER,20958
CLAUDIO ARRIAGADA MACAYA,10,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,18027
CLAUDIO HERRERA SAN MARTIN,12,B,POR TODO CHILE,PROGRESISTA,1014
CLAUDIO ANDRES SANCHEZ BUSTOS,3,B,POR TODO CHILE,PROGRESISTA,1214
CLAUDIO CANEPA BLUMENBERG,16,G,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,1377
CLAUDIO EGUILUZ RODRIGUEZ,20,P,CHILE VAMOS,RENOVACION NACIONAL,8844
CLAUDIO MARTINEZ LABRA,26,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,7888
CLAUDIO OYARZUN CARCAMO,26,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,5048
CLAUDIO PATRICIO MONTERO ARRATIA,14,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,1352
CONSTANTINO ZAFIROPULOS BOSSY,3,H,SUMEMOS,AMPLITUD,3460
COSME MELLADO PINO,16,N,LA FUERZA DE LA MAYORIA,RADICAL SOCIALDEMOCRATA,8864
CRESCENCIO LOPEZ PEREZ,7,H,SUMEMOS,AMPLITUD,344
CRISTHIAN MOREIRA BARROS,13,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,18125
CRISTIAN BAEZA FIGUEROA,13,M,UNION PATRIOTICA,UNION PATRIOTICA,1045
CRISTIAN CUEVAS ZAMBRANO,20,G,FRENTE AMPLIO,HUMANISTA,7504
CRISTIAN GALLEGUILLOS VEGA,5,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,5373
