Candidato,Distrito,Lista,Pacto,Partido,votacion
GEOCONDA NAVARRETE ARRATIA,27,P,CHILE VAMOS,EVOLUCION POLITICA,1471
GEORGINA MARIA VILLABLANCA MARTINEZ,13,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,1952
GERMAN RODRIGO CARTES OYARZO,25,G,FRENTE AMPLIO,INDEPENDIENTE PODER,1913
GERMAN VERDUGO SOTO,17,P,CHILE VAMOS,INDEPENDIENTE UNION DEMOCRATA INDEPENDIENTE,14528
GIGLIOLA ELINA CENTONZIO ROSSEL,7,N,LA FUERZA DE LA MAYORIA,RADICAL SOCIALDEMOCRATA,1255
GINA MARIA HIDALGO CANCINO,19,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,3696
GIORGIO JACKSON DRAGO,10,G,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,103523
GIOVANNI CALDERON BASSI,6,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,2873
GLADYS LORENA PALMA VALLEJOS,12,B,POR TODO CHILE,PROGRESISTA,2116
GLORIA ANGELICA GALLARDO VOSS,12,M,UNION PATRIOTICA,UNION PATRIOTICA,1347
GLORIA NAVEILLAN ARRIAGADA,22,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,1749
GLORIA PATRICIA GONZALEZ SAEZ,26,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,2730
GONZALO FUENZALIDA FIGUEROA,11,P,CHILE VAMOS,RENOVACION NACIONAL,60132
GONZALO MONTERO VIVEROS,17,P,CHILE VAMOS,RENOVACION NACIONAL,11383
